
第１表,,,,刑法犯　罪種別　認知・検挙件数・検挙人員　対前年比較,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,認知件数,認知件数,認知件数,認知件数,検挙件数,検挙件数,検挙件数,検挙件数,検挙率,検挙率,検挙率,検挙人員,検挙人員,検挙人員,検挙人員,"検挙人員
うち)少年","検挙人員
うち)少年","検挙人員
うち)少年","検挙人員
うち)少年",
中国,鳥取県,79 ,101 ,-22 ,-21.8 ,76 ,94 ,-18 ,-19.1 ,27 ,19 ,8 ,42.1 ,96.2 ,93.1 ,3.1 
中国,島根県,100 ,128 ,-28 ,-21.9 ,94 ,100 ,-6 ,-6.0 ,17 ,16 ,1 ,6.3 ,94.0 ,78.1 ,15.9 
中国,岡山県,280 ,199 ,81 ,40.7 ,174 ,191 ,-17 ,-8.9 ,44 ,45 ,-1 ,-2.2 ,62.1 ,96.0 ,-33.9 
中国,広島県,255 ,251 ,4 ,1.6 ,128 ,189 ,-61 ,-32.3 ,66 ,63 ,3 ,4.8 ,50.2 ,75.3 ,-25.1 
中国,山口県,178 ,204 ,-26 ,-12.7 ,150 ,220 ,-70 ,-31.8 ,72 ,61 ,11 ,18.0 ,84.3 ,107.8 ,-23.5 
四国,計,680 ,670 ,10 ,1.5 ,570 ,558 ,12 ,2.2 ,103 ,121 ,-18 ,-14.9 ,83.8 ,83.3 ,0.5 
四国,徳島県,103 ,113 ,-10 ,-8.8 ,59 ,75 ,-16 ,-21.3 ,14 ,11 ,3 ,27.3 ,57.3 ,66.4 ,-9.1 
四国,香川県,114 ,194 ,-80 ,-41.2 ,142 ,150 ,-8 ,-5.3 ,29 ,27 ,2 ,7.4 ,124.6 ,77.3 ,47.3 
四国,愛媛県,273 ,237 ,36 ,15.2 ,215 ,189 ,26 ,13.8 ,43 ,63 ,-20 ,-31.7 ,78.8 ,79.7 ,-0.9 
四国,高知県,190 ,126 ,64 ,50.8 ,154 ,144 ,10 ,6.9 ,17 ,20 ,-3 ,-15.0 ,81.1 ,114.3 ,-33.2 
九州,計,2279 ,2291 ,-12 ,-0.5 ,1734 ,2190 ,-456 ,-20.8 ,418 ,451 ,-33 ,-7.3 ,76.1 ,95.6 ,-19.5 
九州,福岡県,1174 ,1068 ,106 ,9.9 ,900 ,1295 ,-395 ,-30.5 ,161 ,177 ,-16 ,-9.0 ,76.7 ,121.3 ,-44.6 
九州,佐賀県,128 ,145 ,-17 ,-11.7 ,98 ,106 ,-8 ,-7.5 ,14 ,18 ,-4 ,-22.2 ,76.6 ,73.1 ,3.5 
九州,長崎県,108 ,133 ,-25 ,-18.8 ,93 ,103 ,-10 ,-9.7 ,19 ,35 ,-16 ,-45.7 ,86.1 ,77.4 ,8.7 
九州,熊本県,183 ,191 ,-8 ,-4.2 ,139 ,137 ,2 ,1.5 ,60 ,68 ,-8 ,-11.8 ,76.0 ,71.7 ,4.3 
九州,大分県,140 ,135 ,5 ,3.7 ,118 ,87 ,31 ,35.6 ,31 ,32 ,-1 ,-3.1 ,84.3 ,64.4 ,19.9 
九州,宮崎県,165 ,229 ,-64 ,-27.9 ,135 ,217 ,-82 ,-37.8 ,25 ,34 ,-9 ,-26.5 ,81.8 ,94.8 ,-13.0 
九州,鹿児島県,186 ,194 ,-8 ,-4.1 ,133 ,105 ,28 ,26.7 ,57 ,38 ,19 ,50.0 ,71.5 ,54.1 ,17.4 
九州,沖縄県,195 ,196 ,-1 ,-0.5 ,118 ,140 ,-22 ,-15.7 ,51 ,49 ,2 ,4.1 ,60.5 ,71.4 ,-10.9 
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
第６表,,,重要犯罪・重要窃盗犯　都道府県別　認知・検挙件数・検挙人員　対前年比較　（自動車盗）,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,認知件数,認知件数,認知件数,認知件数,検挙件数,検挙件数,検挙件数,検挙件数,検挙人員,検挙人員,検挙人員,検挙人員,検挙率,検挙率,検挙率
,都道府県,"2021年
1～12月","2020年
1～12月",増減,増減率(％),"2021年
1～12月","2020年
1～12月",増減,増減率(％),"2021年
1～12月","2020年
1～12月",増減,増減率(％）,"2021年
1～12月","2020年
1～12月",増減ポイント
総数,,5182 ,5210 ,-28 ,-0.5 ,2556 ,3006 ,-450 ,-15.0 ,634 ,666 ,-32 ,-4.8 ,49.3 ,57.7 ,-8.4 
北海道,計,37 ,84 ,-47 ,-56.0 ,35 ,54 ,-19 ,-35.2 ,21 ,25 ,-4 ,-16.0 ,94.6 ,64.3 ,30.3 
北海道,札幌方面,25 ,50 ,-25 ,-50.0 ,23 ,31 ,-8 ,-25.8 ,15 ,14 ,1 ,7.1 ,92.0 ,62.0 ,30.0 
北海道,函館方面,2 ,8 ,-6 ,-75.0 ,2 ,6 ,-4 ,-66.7 ,0 ,4 ,-4 ,-100.0 ,100.0 ,75.0 ,25.0 
北海道,旭川方面,4 ,9 ,-5 ,-55.6 ,5 ,4 ,1 ,25.0 ,4 ,1 ,3 ,300.0 ,125.0 ,44.4 ,80.6 
北海道,釧路方面,3 ,9 ,-6 ,-66.7 ,3 ,4 ,-1 ,-25.0 ,1 ,2 ,-1 ,-50.0 ,100.0 ,44.4 ,55.6 
北海道,北見方面,3 ,8 ,-5 ,-62.5 ,2 ,9 ,-7 ,-77.8 ,1 ,4 ,-3 ,-75.0 ,66.7 ,112.5 ,-45.8 
東北,計,152 ,158 ,-6 ,-3.8 ,65 ,92 ,-27 ,-29.3 ,34 ,55 ,-21 ,-38.2 ,42.8 ,58.2 ,-15.4 
東北,青森県,12 ,13 ,-1 ,-7.7 ,7 ,9 ,-2 ,-22.2 ,5 ,6 ,-1 ,-16.7 ,58.3 ,69.2 ,-10.9 
東北,岩手県,10 ,6 ,4 ,66.7 ,4 ,5 ,-1 ,-20.0 ,1 ,2 ,-1 ,-50.0 ,40.0 ,83.3 ,-43.3 
東北,宮城県,37 ,37 ,0 ,0.0 ,24 ,20 ,4 ,20.0 ,12 ,13 ,-1 ,-7.7 ,64.9 ,54.1 ,10.8 
東北,秋田県,7 ,13 ,-6 ,-46.2 ,3 ,14 ,-11 ,-78.6 ,3 ,9 ,-6 ,-66.7 ,42.9 ,107.7 ,-64.8 
東北,山形県,18 ,10 ,8 ,80.0 ,13 ,8 ,5 ,62.5 ,3 ,8 ,-5 ,-62.5 ,72.2 ,80.0 ,-7.8 
東北,福島県,68 ,79 ,-11 ,-13.9 ,14 ,36 ,-22 ,-61.1 ,10 ,17 ,-7 ,-41.2 ,20.6 ,45.6 ,-25.0 
東京都,,191 ,96 ,95 ,99.0 ,120 ,133 ,-13 ,-9.8 ,41 ,37 ,4 ,10.8 ,62.8 ,138.5 ,-75.7 
関東,計,2786 ,2628 ,158 ,6.0 ,1247 ,1802 ,-555 ,-30.8 ,180 ,186 ,-6 ,-3.2 ,44.8 ,68.6 ,-23.8 
関東,茨城県,633 ,821 ,-188 ,-22.9 ,426 ,284 ,142 ,50.0 ,25 ,35 ,-10 ,-28.6 ,67.3 ,34.6 ,32.7 
関東,栃木県,311 ,180 ,131 ,72.8 ,58 ,108 ,-50 ,-46.3 ,6 ,8 ,-2 ,-25.0 ,18.6 ,60.0 ,-41.4 
関東,群馬県,149 ,113 ,36 ,31.9 ,27 ,31 ,-4 ,-12.9 ,11 ,8 ,3 ,37.5 ,18.1 ,27.4 ,-9.3 
関東,埼玉県,493 ,460 ,33 ,7.2 ,180 ,449 ,-269 ,-59.9 ,31 ,30 ,1 ,3.3 ,36.5 ,97.6 ,-61.1 
関東,千葉県,759 ,670 ,89 ,13.3 ,170 ,491 ,-321 ,-65.4 ,43 ,35 ,8 ,22.9 ,22.4 ,73.3 ,-50.9 
関東,神奈川県,264 ,213 ,51 ,23.9 ,214 ,317 ,-103 ,-32.5 ,24 ,28 ,-4 ,-14.3 ,81.1 ,148.8 ,-67.7 
関東,新潟県,26 ,37 ,-11 ,-29.7 ,36 ,21 ,15 ,71.4 ,12 ,12 ,0 ,0.0 ,138.5 ,56.8 ,81.7 
関東,山梨県,29 ,27 ,2 ,7.4 ,8 ,23 ,-15 ,-65.2 ,4 ,8 ,-4 ,-50.0 ,27.6 ,85.2 ,-57.6 
関東,長野県,42 ,42 ,0 ,0.0 ,15 ,36 ,-21 ,-58.3 ,5 ,6 ,-1 ,-16.7 ,35.7 ,85.7 ,-50.0 
関東,静岡県,80 ,65 ,15 ,23.1 ,113 ,42 ,71 ,169.0 ,19 ,16 ,3 ,18.8 ,141.3 ,64.6 ,76.7 
中部,計,992 ,710 ,282 ,39.7 ,225 ,271 ,-46 ,-17.0 ,92 ,89 ,3 ,3.4 ,22.7 ,38.2 ,-15.5 
中部,富山県,18 ,20 ,-2 ,-10.0 ,11 ,19 ,-8 ,-42.1 ,4 ,9 ,-5 ,-55.6 ,61.1 ,95.0 ,-33.9 
中部,石川県,17 ,14 ,3 ,21.4 ,19 ,15 ,4 ,26.7 ,7 ,5 ,2 ,40.0 ,111.8 ,107.1 ,4.7 
中部,福井県,13 ,10 ,3 ,30.0 ,11 ,11 ,0 ,0.0 ,7 ,6 ,1 ,16.7 ,84.6 ,110.0 ,-25.4 
中部,岐阜県,107 ,114 ,-7 ,-6.1 ,39 ,27 ,12 ,44.4 ,11 ,9 ,2 ,22.2 ,36.4 ,23.7 ,12.7 
中部,愛知県,745 ,500 ,245 ,49.0 ,129 ,143 ,-14 ,-9.8 ,56 ,49 ,7 ,14.3 ,17.3 ,28.6 ,-11.3 
中部,三重県,92 ,52 ,40 ,76.9 ,16 ,56 ,-40 ,-71.4 ,7 ,11 ,-4 ,-36.4 ,17.4 ,107.7 ,-90.3 
近畿,計,752 ,1222 ,-470 ,-38.5 ,579 ,413 ,166 ,40.2 ,133 ,147 ,-14 ,-9.5 ,77.0 ,33.8 ,43.2 
近畿,滋賀県,37 ,65 ,-28 ,-43.1 ,20 ,16 ,4 ,25.0 ,8 ,11 ,-3 ,-27.3 ,54.1 ,24.6 ,29.5 
近畿,京都府,50 ,133 ,-83 ,-62.4 ,46 ,23 ,23 ,100.0 ,12 ,8 ,4 ,50.0 ,92.0 ,17.3 ,74.7 
近畿,大阪府,519 ,789 ,-270 ,-34.2 ,239 ,173 ,66 ,38.2 ,72 ,74 ,-2 ,-2.7 ,46.1 ,21.9 ,24.2 
近畿,兵庫県,113 ,197 ,-84 ,-42.6 ,240 ,136 ,104 ,76.5 ,35 ,44 ,-9 ,-20.5 ,212.4 ,69.0 ,143.4 
近畿,奈良県,23 ,25 ,-2 ,-8.0 ,29 ,44 ,-15 ,-34.1 ,3 ,4 ,-1 ,-25.0 ,126.1 ,176.0 ,-49.9 
近畿,和歌山県,10 ,13 ,-3 ,-23.1 ,5 ,21 ,-16 ,-76.2 ,3 ,6 ,-3 ,-50.0 ,50.0 ,161.5 ,-111.5 
中国,計,75 ,63 ,12 ,19.0 ,53 ,61 ,-8 ,-13.1 ,31 ,32 ,-1 ,-3.1 ,70.7 ,96.8 ,-26.1 
中国,鳥取県,12 ,7 ,5 ,71.4 ,8 ,7 ,1 ,14.3 ,9 ,3 ,6 ,200.0 ,66.7 ,100.0 ,-33.3 
中国,島根県,9 ,5 ,4 ,80.0 ,7 ,3 ,4 ,133.3 ,1 ,3 ,-2 ,-66.7 ,77.8 ,60.0 ,17.8 
中国,岡山県,22 ,19 ,3 ,15.8 ,14 ,22 ,-8 ,-36.4 ,6 ,9 ,-3 ,-33.3 ,63.6 ,115.8 ,-52.2 
中国,広島県,21 ,25 ,-4 ,-16.0 ,12 ,22 ,-10 ,-45.5 ,7 ,13 ,-6 ,-46.2 ,57.1 ,88.0 ,-30.9 
中国,山口県,11 ,7 ,4 ,57.1 ,12 ,7 ,5 ,71.4 ,8 ,4 ,4 ,100.0 ,109.1 ,100.0 ,9.1 
四国,計,46 ,32 ,14 ,43.8 ,31 ,26 ,5 ,19.2 ,16 ,11 ,5 ,45.5 ,67.4 ,81.3 ,-13.9 
四国,徳島県,9 ,10 ,-1 ,-10.0 ,3 ,9 ,-6 ,-66.7 ,2 ,3 ,-1 ,-33.3 ,33.3 ,90.0 ,-56.7 
四国,香川県,7 ,6 ,1 ,16.7 ,7 ,4 ,3 ,75.0 ,4 ,2 ,2 ,100.0 ,100.0 ,66.7 ,33.3 
四国,愛媛県,22 ,10 ,12 ,120.0 ,15 ,9 ,6 ,66.7 ,7 ,4 ,3 ,75.0 ,68.2 ,90.0 ,-21.8 
四国,高知県,8 ,6 ,2 ,33.3 ,6 ,4 ,2 ,50.0 ,3 ,2 ,1 ,50.0 ,75.0 ,66.7 ,8.3 
九州,計,151 ,217 ,-66 ,-30.4 ,201 ,154 ,47 ,30.5 ,86 ,84 ,2 ,2.4 ,133.1 ,71.0 ,62.1 
九州,福岡県,59 ,91 ,-32 ,-35.2 ,129 ,56 ,73 ,130.4 ,32 ,19 ,13 ,68.4 ,218.6 ,61.5 ,157.1 
九州,佐賀県,4 ,10 ,-6 ,-60.0 ,4 ,16 ,-12 ,-75.0 ,1 ,4 ,-3 ,-75.0 ,100.0 ,160.0 ,-60.0 
九州,長崎県,7 ,10 ,-3 ,-30.0 ,6 ,6 ,0 ,0.0 ,5 ,2 ,3 ,150.0 ,85.7 ,60.0 ,25.7 
九州,熊本県,12 ,27 ,-15 ,-55.6 ,9 ,18 ,-9 ,-50.0 ,6 ,10 ,-4 ,-40.0 ,75.0 ,66.7 ,8.3 
九州,大分県,6 ,8 ,-2 ,-25.0 ,6 ,5 ,1 ,20.0 ,7 ,3 ,4 ,133.3 ,100.0 ,62.5 ,37.5 
九州,宮崎県,15 ,8 ,7 ,87.5 ,8 ,3 ,5 ,166.7 ,3 ,1 ,2 ,200.0 ,53.3 ,37.5 ,15.8 
九州,鹿児島県,21 ,21 ,0 ,0.0 ,13 ,18 ,-5 ,-27.8 ,8 ,14 ,-6 ,-42.9 ,61.9 ,85.7 ,-23.8 
九州,沖縄県,27 ,42 ,-15 ,-35.7 ,26 ,32 ,-6 ,-18.8 ,24 ,31 ,-7 ,-22.6 ,96.3 ,76.2 ,20.1 
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
第６表,,,重要犯罪・重要窃盗犯　都道府県別　認知・検挙件数・検挙人員　対前年比較　（ひったくり）,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,認知件数,認知件数,認知件数,認知件数,検挙件数,検挙件数,検挙件数,検挙件数,検挙人員,検挙人員,検挙人員,検挙人員,検挙率,検挙率,検挙率
,都道府県,"2021年
1～12月","2020年
1～12月",増減,増減率(％),"2021年
1～12月","2020年
1～12月",増減,増減率(％),"2021年
1～12月","2020年
1～12月",増減,増減率(％）,"2021年
1～12月","2020年
1～12月",増減ポイント
総数,,544 ,877 ,-333 ,-38.0 ,426 ,712 ,-286 ,-40.2 ,206 ,248 ,-42 ,-16.9 ,78.3 ,81.2 ,-2.9 
北海道,計,6 ,4 ,2 ,50.0 ,5 ,4 ,1 ,25.0 ,5 ,5 ,0 ,0.0 ,83.3 ,100.0 ,-16.7 
北海道,札幌方面,5 ,4 ,1 ,25.0 ,4 ,3 ,1 ,33.3 ,4 ,3 ,1 ,33.3 ,80.0 ,75.0 ,5.0 
北海道,函館方面,0 ,0 ,0 ,0.0 ,0 ,0 ,0 ,0.0 ,0 ,0 ,0 ,0.0 ,0.0 ,0.0 ,0.0 
北海道,旭川方面,0 ,0 ,0 ,0.0 ,0 ,0 ,0 ,0.0 ,0 ,1 ,-1 ,-100.0 ,0.0 ,0.0 ,0.0 
北海道,釧路方面,0 ,0 ,0 ,0.0 ,0 ,1 ,-1 ,-100.0 ,0 ,1 ,-1 ,-100.0 ,0.0 ,0.0 ,0.0 
北海道,北見方面,1 ,0 ,1 ,0.0 ,1 ,0 ,1 ,0.0 ,1 ,0 ,1 ,0.0 ,100.0 ,0.0 ,100.0 
東北,計,8 ,13 ,-5 ,-38.5 ,6 ,11 ,-5 ,-45.5 ,5 ,8 ,-3 ,-37.5 ,75.0 ,84.6 ,-9.6 
東北,青森県,1 ,2 ,-1 ,-50.0 ,1 ,2 ,-1 ,-50.0 ,1 ,1 ,0 ,0.0 ,100.0 ,100.0 ,0.0 
東北,岩手県,1 ,0 ,1 ,0.0 ,0 ,0 ,0 ,0.0 ,0 ,0 ,0 ,0.0 ,0.0 ,0.0 ,0.0 
東北,宮城県,3 ,8 ,-5 ,-62.5 ,3 ,7 ,-4 ,-57.1 ,2 ,6 ,-4 ,-66.7 ,100.0 ,87.5 ,12.5 
東北,秋田県,0 ,2 ,-2 ,-100.0 ,0 ,2 ,-2 ,-100.0 ,0 ,1 ,-1 ,-100.0 ,0.0 ,100.0 ,-100.0 
東北,山形県,1 ,1 ,0 ,0.0 ,1 ,0 ,1 ,0.0 ,1 ,0 ,1 ,0.0 ,100.0 ,0.0 ,100.0 
東北,福島県,2 ,0 ,2 ,0.0 ,1 ,0 ,1 ,0.0 ,1 ,0 ,1 ,0.0 ,50.0 ,0.0 ,50.0 
東京都,,64 ,98 ,-34 ,-34.7 ,51 ,194 ,-143 ,-73.7 ,39 ,50 ,-11 ,-22.0 ,79.7 ,198.0 ,-118.3 
関東,計,191 ,342 ,-151 ,-44.2 ,134 ,197 ,-63 ,-32.0 ,34 ,65 ,-31 ,-47.7 ,70.2 ,57.6 ,12.6 
関東,茨城県,5 ,18 ,-13 ,-72.2 ,1 ,20 ,-19 ,-95.0 ,1 ,3 ,-2 ,-66.7 ,20.0 ,111.1 ,-91.1 
関東,栃木県,10 ,7 ,3 ,42.9 ,1 ,2 ,-1 ,-50.0 ,1 ,1 ,0 ,0.0 ,10.0 ,28.6 ,-18.6 
関東,群馬県,7 ,5 ,2 ,40.0 ,6 ,0 ,6 ,0.0 ,2 ,0 ,2 ,0.0 ,85.7 ,0.0 ,85.7 
関東,埼玉県,77 ,115 ,-38 ,-33.0 ,46 ,50 ,-4 ,-8.0 ,10 ,20 ,-10 ,-50.0 ,59.7 ,43.5 ,16.2 
関東,千葉県,31 ,73 ,-42 ,-57.5 ,7 ,16 ,-9 ,-56.3 ,4 ,11 ,-7 ,-63.6 ,22.6 ,21.9 ,0.7 
関東,神奈川県,56 ,109 ,-53 ,-48.6 ,67 ,104 ,-37 ,-35.6 ,13 ,27 ,-14 ,-51.9 ,119.6 ,95.4 ,24.2 
関東,新潟県,0 ,1 ,-1 ,-100.0 ,0 ,0 ,0 ,0.0 ,0 ,0 ,0 ,0.0 ,0.0 ,0.0 ,0.0 
関東,山梨県,1 ,3 ,-2 ,-66.7 ,1 ,2 ,-1 ,-50.0 ,1 ,1 ,0 ,0.0 ,100.0 ,66.7 ,33.3 
関東,長野県,2 ,1 ,1 ,100.0 ,2 ,0 ,2 ,0.0 ,1 ,0 ,1 ,0.0 ,100.0 ,0.0 ,100.0 
関東,静岡県,2 ,10 ,-8 ,-80.0 ,3 ,3 ,0 ,0.0 ,1 ,2 ,-1 ,-50.0 ,150.0 ,30.0 ,120.0 
中部,計,54 ,38 ,16 ,42.1 ,28 ,13 ,15 ,115.4 ,14 ,8 ,6 ,75.0 ,51.9 ,34.2 ,17.7 
中部,富山県,0 ,0 ,0 ,0.0 ,0 ,0 ,0 ,0.0 ,0 ,0 ,0 ,0.0 ,0.0 ,0.0 ,0.0 
中部,石川県,0 ,0 ,0 ,0.0 ,0 ,0 ,0 ,0.0 ,0 ,0 ,0 ,0.0 ,0.0 ,0.0 ,0.0 
中部,福井県,0 ,0 ,0 ,0.0 ,0 ,0 ,0 ,0.0 ,0 ,0 ,0 ,0.0 ,0.0 ,0.0 ,0.0 
中部,岐阜県,5 ,1 ,4 ,400.0 ,5 ,1 ,4 ,400.0 ,3 ,0 ,3 ,0.0 ,100.0 ,100.0 ,0.0 
中部,愛知県,42 ,32 ,10 ,31.3 ,20 ,11 ,9 ,81.8 ,7 ,7 ,0 ,0.0 ,47.6 ,34.4 ,13.2 
中部,三重県,7 ,5 ,2 ,40.0 ,3 ,1 ,2 ,200.0 ,4 ,1 ,3 ,300.0 ,42.9 ,20.0 ,22.9 
近畿,計,168 ,299 ,-131 ,-43.8 ,156 ,213 ,-57 ,-26.8 ,81 ,74 ,7 ,9.5 ,92.9 ,71.2 ,21.7 
近畿,滋賀県,1 ,3 ,-2 ,-66.7 ,0 ,5 ,-5 ,-100.0 ,0 ,4 ,-4 ,-100.0 ,0.0 ,166.7 ,-166.7 
近畿,京都府,22 ,26 ,-4 ,-15.4 ,9 ,19 ,-10 ,-52.6 ,8 ,7 ,1 ,14.3 ,40.9 ,73.1 ,-32.2 
近畿,大阪府,100 ,147 ,-47 ,-32.0 ,90 ,103 ,-13 ,-12.6 ,45 ,39 ,6 ,15.4 ,90.0 ,70.1 ,19.9 
近畿,兵庫県,28 ,100 ,-72 ,-72.0 ,49 ,79 ,-30 ,-38.0 ,22 ,19 ,3 ,15.8 ,175.0 ,79.0 ,96.0 
近畿,奈良県,13 ,22 ,-9 ,-40.9 ,5 ,7 ,-2 ,-28.6 ,3 ,5 ,-2 ,-40.0 ,38.5 ,31.8 ,6.7 
近畿,和歌山県,4 ,1 ,3 ,300.0 ,3 ,0 ,3 ,0.0 ,3 ,0 ,3 ,0.0 ,75.0 ,0.0 ,75.0 
中国,計,18 ,12 ,6 ,50.0 ,17 ,8 ,9 ,112.5 ,11 ,9 ,2 ,22.2 ,94.4 ,66.7 ,27.7 
中国,鳥取県,0 ,0 ,0 ,0.0 ,0 ,0 ,0 ,0.0 ,0 ,0 ,0 ,0.0 ,0.0 ,0.0 ,0.0 
中国,島根県,2 ,0 ,2 ,0.0 ,1 ,0 ,1 ,0.0 ,1 ,0 ,1 ,0.0 ,50.0 ,0.0 ,50.0 
中国,岡山県,13 ,5 ,8 ,160.0 ,13 ,4 ,9 ,225.0 ,8 ,5 ,3 ,60.0 ,100.0 ,80.0 ,20.0 
中国,広島県,3 ,4 ,-1 ,-25.0 ,3 ,0 ,3 ,0.0 ,2 ,0 ,2 ,0.0 ,100.0 ,0.0 ,100.0 
中国,山口県,0 ,3 ,-3 ,-100.0 ,0 ,4 ,-4 ,-100.0 ,0 ,4 ,-4 ,-100.0 ,0.0 ,133.3 ,-133.3 
四国,計,4 ,12 ,-8 ,-66.7 ,3 ,7 ,-4 ,-57.1 ,3 ,6 ,-3 ,-50.0 ,75.0 ,58.3 ,16.7 
四国,徳島県,1 ,4 ,-3 ,-75.0 ,1 ,1 ,0 ,0.0 ,1 ,2 ,-1 ,-50.0 ,100.0 ,25.0 ,75.0 
四国,香川県,0 ,2 ,-2 ,-100.0 ,0 ,4 ,-4 ,-100.0 ,0 ,2 ,-2 ,-100.0 ,0.0 ,200.0 ,-200.0 
四国,愛媛県,2 ,6 ,-4 ,-66.7 ,1 ,2 ,-1 ,-50.0 ,1 ,2 ,-1 ,-50.0 ,50.0 ,33.3 ,16.7 
四国,高知県,1 ,0 ,1 ,0.0 ,1 ,0 ,1 ,0.0 ,1 ,0 ,1 ,0.0 ,100.0 ,0.0 ,100.0 
九州,計,31 ,59 ,-28 ,-47.5 ,26 ,65 ,-39 ,-60.0 ,14 ,23 ,-9 ,-39.1 ,83.9 ,110.2 ,-26.3 
九州,福岡県,21 ,46 ,-25 ,-54.3 ,13 ,59 ,-46 ,-78.0 ,7 ,16 ,-9 ,-56.3 ,61.9 ,128.3 ,-66.4 
九州,佐賀県,0 ,0 ,0 ,0.0 ,0 ,1 ,-1 ,-100.0 ,0 ,1 ,-1 ,-100.0 ,0.0 ,0.0 ,0.0 
九州,長崎県,2 ,0 ,2 ,0.0 ,2 ,0 ,2 ,0.0 ,1 ,0 ,1 ,0.0 ,100.0 ,0.0 ,100.0 
九州,熊本県,1 ,0 ,1 ,0.0 ,1 ,0 ,1 ,0.0 ,1 ,1 ,0 ,0.0 ,100.0 ,0.0 ,100.0 
九州,大分県,1 ,3 ,-2 ,-66.7 ,4 ,0 ,4 ,0.0 ,1 ,0 ,1 ,0.0 ,400.0 ,0.0 ,400.0 
九州,宮崎県,0 ,3 ,-3 ,-100.0 ,1 ,1 ,0 ,0.0 ,0 ,0 ,0 ,0.0 ,0.0 ,33.3 ,-33.3 
九州,鹿児島県,1 ,4 ,-3 ,-75.0 ,0 ,2 ,-2 ,-100.0 ,0 ,2 ,-2 ,-100.0 ,0.0 ,50.0 ,-50.0 
九州,沖縄県,5 ,3 ,2 ,66.7 ,5 ,2 ,3 ,150.0 ,4 ,3 ,1 ,33.3 ,100.0 ,66.7 ,33.3 
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
第６表,,,重要犯罪・重要窃盗犯　都道府県別　認知・検挙件数・検挙人員　対前年比較　（すり）,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,認知件数,認知件数,認知件数,認知件数,検挙件数,検挙件数,検挙件数,検挙件数,検挙人員,検挙人員,検挙人員,検挙人員,検挙率,検挙率,検挙率
,都道府県,"2021年
1～12月","2020年
1～12月",増減,増減率(％),"2021年
1～12月","2020年
1～12月",増減,増減率(％),"2021年
1～12月","2020年
1～12月",増減,増減率(％）,"2021年
1～12月","2020年
1～12月",増減ポイント
総数,,1110 ,1424 ,-314 ,-22.1 ,739 ,690 ,49 ,7.1 ,287 ,415 ,-128 ,-30.8 ,66.6 ,48.5 ,18.1 
北海道,計,291 ,25 ,266 ,1064.0 ,302 ,18 ,284 ,1577.8 ,10 ,10 ,0 ,0.0 ,103.8 ,72.0 ,31.8 
北海道,札幌方面,287 ,22 ,265 ,1204.5 ,298 ,15 ,283 ,1886.7 ,7 ,7 ,0 ,0.0 ,103.8 ,68.2 ,35.6 
北海道,函館方面,0 ,0 ,0 ,0.0 ,0 ,0 ,0 ,0.0 ,0 ,0 ,0 ,0.0 ,0.0 ,0.0 ,0.0 
北海道,旭川方面,1 ,2 ,-1 ,-50.0 ,1 ,2 ,-1 ,-50.0 ,1 ,2 ,-1 ,-50.0 ,100.0 ,100.0 ,0.0 
北海道,釧路方面,3 ,1 ,2 ,200.0 ,3 ,1 ,2 ,200.0 ,2 ,1 ,1 ,100.0 ,100.0 ,100.0 ,0.0 
北海道,北見方面,0 ,0 ,0 ,0.0 ,0 ,0 ,0 ,0.0 ,0 ,0 ,0 ,0.0 ,0.0 ,0.0 ,0.0 
東北,計,6 ,21 ,-15 ,-71.4 ,5 ,19 ,-14 ,-73.7 ,5 ,12 ,-7 ,-58.3 ,83.3 ,90.5 ,-7.2 
東北,青森県,0 ,1 ,-1 ,-100.0 ,0 ,1 ,-1 ,-100.0 ,0 ,1 ,-1 ,-100.0 ,0.0 ,100.0 ,-100.0 
東北,岩手県,1 ,5 ,-4 ,-80.0 ,0 ,5 ,-5 ,-100.0 ,0 ,4 ,-4 ,-100.0 ,0.0 ,100.0 ,-100.0 
東北,宮城県,2 ,5 ,-3 ,-60.0 ,3 ,4 ,-1 ,-25.0 ,2 ,4 ,-2 ,-50.0 ,150.0 ,80.0 ,70.0 
東北,秋田県,2 ,2 ,0 ,0.0 ,2 ,2 ,0 ,0.0 ,2 ,1 ,1 ,100.0 ,100.0 ,100.0 ,0.0 
東北,山形県,0 ,1 ,-1 ,-100.0 ,0 ,0 ,0 ,0.0 ,0 ,0 ,0 ,0.0 ,0.0 ,0.0 ,0.0 
東北,福島県,1 ,7 ,-6 ,-85.7 ,0 ,7 ,-7 ,-100.0 ,1 ,2 ,-1 ,-50.0 ,0.0 ,100.0 ,-100.0 
